meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID41786_OID20790	OID41786_OID20790	OID41786	Q86VW0	SESTD1	OID20790	Q86VW0	SESTD1
OID41215_OID20791	OID41215_OID20791	OID41215	P53539	FOSB	OID20791	P53539	FOSB
OID41533_OID20792	OID41533_OID20792	OID41533	Q92597	NDRG1	OID20792	Q92597	NDRG1
OID42864_OID20793	OID42864_OID20793	OID42864	A1E959	ODAM	OID20793	A1E959	ODAM
OID42963_OID20794	OID42963_OID20794	OID42963	P60484	PTEN	OID20794	P60484	PTEN
OID42586_OID20795	OID42586_OID20795	OID42586	Q8IU54	IFNL1	OID20795	Q8IU54	IFNL1
OID43103_OID20796	OID43103_OID20796	OID43103	P51531	SMARCA2	OID20796	P51531	SMARCA2
OID42314_OID20797	OID42314_OID20797	OID42314	O14579	COPE	OID20797	O14579	COPE
OID42152_OID20798	OID42152_OID20798	OID42152	P15336	ATF2	OID20798	P15336	ATF2
OID43089_OID20799	OID43089_OID20799	OID43089	P53985	SLC16A1	OID20799	P53985	SLC16A1
OID42682_OID20800	OID42682_OID20800	OID42682	P02533	KRT14	OID20800	P02533	KRT14
OID42214_OID20801	OID42214_OID20801	OID42214	P22676	CALB2	OID20801	P22676	CALB2
OID42140_OID20803	OID42140_OID20803	OID42140	Q4LE39	ARID4B	OID20803	Q4LE39	ARID4B
OID42201_OID20804	OID42201_OID20804	OID42201	Q9NSK7	C19orf12	OID20804	Q9NSK7	C19orf12
OID43052_OID20805	OID43052_OID20805	OID43052	Q8WTV0	SCARB1	OID20805	Q8WTV0	SCARB1
OID42112_OID20806	OID42112_OID20806	OID42112	Q9UKV5	AMFR	OID20806	Q9UKV5	AMFR
OID42763_OID20807	OID42763_OID20807	OID42763	P45452	MMP13	OID20807	P45452	MMP13
OID42623_OID20809	OID42623_OID20809	OID42623	Q6ZMJ4	IL34	OID20809	Q6ZMJ4	IL34
OID42125_OID20810	OID42125_OID20810	OID42125	P08758	ANXA5	OID20810	P08758	ANXA5
OID42161_OID20811	OID42161_OID20811	OID42161	P48047	ATP5PO	OID20811	P48047	ATP5PO
OID43079_OID20812	OID43079_OID20812	OID43079	Q6ZMC9	SIGLEC15	OID20812	Q6ZMC9	SIGLEC15
OID42653_OID20813	OID42653_OID20813	OID42653	Q6PIL6	KCNIP4	OID20813	Q6PIL6	KCNIP4
OID43091_OID20814	OID43091_OID20814	OID43091	Q6P1M0	SLC27A4	OID20814	Q6P1M0	SLC27A4
OID42753_OID20815	OID42753_OID20815	OID42753	P53582	METAP1	OID20815	P53582	METAP1
OID43168_OID20816	OID43168_OID20816	OID43168	P13385	TDGF1	OID20816	P13385	TDGF1
OID42978_OID20817	OID42978_OID20817	OID42978	Q9NRW1	RAB6B	OID20817	Q9NRW1	RAB6B
OID43132_OID20818	OID43132_OID20818	OID43132	P05455	SSB	OID20818	P05455	SSB
OID42878_OID20819	OID42878_OID20819	OID42878	O96013	PAK4	OID20819	O96013	PAK4
OID43082_OID20820	OID43082_OID20820	OID43082	Q9NXA8	SIRT5	OID20820	Q9NXA8	SIRT5
OID42718_OID20821	OID42718_OID20821	OID42718	Q8N2G4	LYPD1	OID20821	Q8N2G4	LYPD1
OID42970_OID20822	OID42970_OID20822	OID42970	P49023	PXN	OID20822	P49023	PXN
OID42582_OID20823	OID42582_OID20823	OID42582	Q9BXS1	IDI2	OID20823	Q9BXS1	IDI2
OID42694_OID20824	OID42694_OID20824	OID42694	P15018	LIF	OID20824	P15018	LIF
OID42521_OID20825	OID42521_OID20825	OID42521	Q9H1C3	GLT8D2	OID20825	Q9H1C3	GLT8D2
OID42992_OID20826	OID42992_OID20826	OID42992	P20936	RASA1	OID20826	P20936	RASA1
OID42390_OID20827	OID42390_OID20827	OID42390	P51452	DUSP3	OID20827	P51452	DUSP3
OID42462_OID20828	OID42462_OID20828	OID42462	P09769	FGR	OID20828	P09769	FGR
OID42577_OID20829	OID42577_OID20829	OID42577	P14625	HSP90B1	OID20829	P14625	HSP90B1
OID42741_OID20830	OID42741_OID20830	OID42741	P10636	MAPT	OID20830	P10636	MAPT
OID42302_OID20831	OID42302_OID20831	OID42302	Q9HAW4	CLSPN	OID20831	Q9HAW4	CLSPN
OID42874_OID20832	OID42874_OID20832	OID42874	Q9UM07	PADI4	OID20832	Q9UM07	PADI4
OID42643_OID20833	OID42643_OID20833	OID42643	P26440	IVD	OID20833	P26440	IVD
OID42844_OID20834	OID42844_OID20834	OID42844	P29474	NOS3	OID20834	P29474	NOS3
OID42916_OID20835	OID42916_OID20835	OID42916	O60240	PLIN1	OID20835	O60240	PLIN1
OID42283_OID20836	OID42283_OID20836	OID42283	P41208	CETN2	OID20836	P41208	CETN2
OID43138_OID20837	OID43138_OID20837	OID43138	Q9Y6E0	STK24	OID20837	Q9Y6E0	STK24
OID42511_OID20838	OID42511_OID20838	OID42511	Q9UJY5	GGA1	OID20838	Q9UJY5	GGA1
OID42883_OID20839	OID42883_OID20839	OID42883	P30039	PBLD	OID20839	P30039	PBLD
OID42419_OID20840	OID42419_OID20840	OID42419	Q5JZY3	EPHA10	OID20840	Q5JZY3	EPHA10
OID42515_OID20841	OID42515_OID20841	OID42515	Q02643	GHRHR	OID20841	Q02643	GHRHR
OID43225_OID20842	OID43225_OID20842	OID43225	Q9BW30	TPPP3	OID20842	Q9BW30	TPPP3
OID42163_OID20843	OID42163_OID20843	OID42163	Q16864	ATP6V1F	OID20843	Q16864	ATP6V1F
OID43162_OID20844	OID43162_OID20844	OID43162	Q9HA65	TBC1D17	OID20844	Q9HA65	TBC1D17
OID42500_OID20845	OID42500_OID20845	OID42500	Q96PP9	GBP4	OID20845	Q96PP9	GBP4
OID42468_OID20846	OID42468_OID20846	OID42468	Q9Y680	FKBP7	OID20846	Q9Y680	FKBP7
OID42968_OID20847	OID42968_OID20847	OID42968	Q03393	PTS	OID20847	Q03393	PTS
OID42862_OID20849	OID42862_OID20849	OID42862	P58417	NXPH1	OID20849	P58417	NXPH1
OID42920_OID20850	OID42920_OID20850	OID42920	Q15126	PMVK	OID20850	Q15126	PMVK
OID43279_OID20851	OID43279_OID20851	OID43279	Q6UX27	VSTM1	OID20851	Q6UX27	VSTM1
OID43094_OID20852	OID43094_OID20852	OID43094	Q15043	SLC39A14	OID20852	Q15043	SLC39A14
OID42632_OID20853	OID42632_OID20853	OID42632	Q9UK53	ING1	OID20853	Q9UK53	ING1
OID42224_OID20854	OID42224_OID20854	OID42224	P29466	CASP1	OID20854	P29466	CASP1
OID42630_OID20855	OID42630_OID20855	OID42630	Q9H0C8	ILKAP	OID20855	Q9H0C8	ILKAP
OID42175_OID20856	OID42175_OID20856	OID42175	Q07812	BAX	OID20856	Q07812	BAX
OID42282_OID20857	OID42282_OID20857	OID42282	Q9Y5P4	CERT1	OID20857	Q9Y5P4	CERT1
OID42774_OID20858	OID42774_OID20858	OID42774	Q9H2W6	MRPL46	OID20858	Q9H2W6	MRPL46
OID42222_OID20859	OID42222_OID20859	OID42222	Q9Y2V2	CARHSP1	OID20859	Q9Y2V2	CARHSP1
OID42684_OID20860	OID42684_OID20860	OID42684	P13647	KRT5	OID20860	P13647	KRT5
OID42505_OID20861	OID42505_OID20861	OID42505	P39905	GDNF	OID20861	P39905	GDNF
OID43099_OID20862	OID43099_OID20862	OID43099	O94813	SLIT2	OID20862	O94813	SLIT2
OID42842_OID20863	OID42842_OID20863	OID42842	P29475	NOS1	OID20863	P29475	NOS1
OID42202_OID20864	OID42202_OID20864	OID42202	O14523	C2CD2L	OID20864	O14523	C2CD2L
OID42164_OID20865	OID42164_OID20865	OID42164	Q9UBB4	ATXN10	OID20865	Q9UBB4	ATXN10
OID42786_OID20866	OID42786_OID20866	OID42786	Q9H3R2	MUC13	OID20866	Q9H3R2	MUC13
OID42956_OID20867	OID42956_OID20867	OID42956	Q9NRG1	PRTFDC1	OID20867	Q9NRG1	PRTFDC1
OID43248_OID20868	OID43248_OID20868	OID43248	Q16762	TST	OID20868	Q16762	TST
OID43290_OID20869	OID43290_OID20869	OID43290	Q13426	XRCC4	OID20869	Q13426	XRCC4
OID43159_OID20870	OID43159_OID20870	OID43159	Q15633	TARBP2	OID20870	Q15633	TARBP2
OID42822_OID20871	OID42822_OID20871	OID42822	P07196	NEFL	OID20871	P07196	NEFL
OID42464_OID20872	OID42464_OID20872	OID42464	P49789	FHIT	OID20872	P49789	FHIT
OID42675_OID20873	OID42675_OID20873	OID42675	Q6UWL6	KIRREL2	OID20873	Q6UWL6	KIRREL2
OID43170_OID20875	OID43170_OID20875	OID43170	Q9Y2W6	TDRKH	OID20875	Q9Y2W6	TDRKH
OID42542_OID20876	OID42542_OID20876	OID42542	P09211	GSTP1	OID20876	P09211	GSTP1
OID42744_OID20877	OID42744_OID20877	OID42744	P61244	MAX	OID20877	P61244	MAX
OID44201_OID20878	OID44201_OID20878	OID44201	Q96FQ6	S100A16	OID20878	Q96FQ6	S100A16
OID43597_OID20879	OID43597_OID20879	OID43597	O00399	DCTN6	OID20879	O00399	DCTN6
OID44146_OID20880	OID44146_OID20880	OID44146	Q13308	PTK7	OID20880	Q13308	PTK7
OID43888_OID20881	OID43888_OID20881	OID43888	P23276	KEL	OID20881	P23276	KEL
OID44406_OID20882	OID44406_OID20882	OID44406	Q9UPY6	WASF3	OID20882	Q9UPY6	WASF3
OID43425_OID20883	OID43425_OID20883	OID43425	Q8WUW1	BRK1	OID20883	Q8WUW1	BRK1
OID43723_OID20884	OID43723_OID20884	OID43723	O95466	FMNL1	OID20884	O95466	FMNL1
OID43758_OID20885	OID43758_OID20885	OID43758	Q9NS71	GKN1	OID20885	Q9NS71	GKN1
OID43367_OID20886	OID43367_OID20886	OID43367	Q9UJ72	ANXA10	OID20886	Q9UJ72	ANXA10
OID43809_OID20887	OID43809_OID20887	OID43809	P30519	HMOX2	OID20887	P30519	HMOX2
OID43895_OID20888	OID43895_OID20888	OID43895	Q86Z14	KLB	OID20888	Q86Z14	KLB
OID43872_OID20889	OID43872_OID20889	OID43872	Q6UXK2	ISLR2	OID20889	Q6UXK2	ISLR2
OID43778_OID20890	OID43778_OID20890	OID43778	Q92917	GPKOW	OID20890	Q92917	GPKOW
OID43647_OID20891	OID43647_OID20891	OID43647	P42892	ECE1	OID20891	P42892	ECE1
OID44088_OID20892	OID44088_OID20892	OID44088	Q9UHV9	PFDN2	OID20892	Q9UHV9	PFDN2
OID43452_OID20893	OID43452_OID20893	OID43452	Q92851	CASP10	OID20893	Q92851	CASP10
OID44324_OID20894	OID44324_OID20894	OID44324	Q9NQ88	TIGAR	OID20894	Q9NQ88	TIGAR
OID43352_OID20895	OID43352_OID20895	OID43352	Q96B36	AKT1S1	OID20895	Q96B36	AKT1S1
OID43343_OID20896	OID43343_OID20896	OID43343	O95994	AGR2	OID20896	O95994	AGR2
OID43630_OID20897	OID43630_OID20897	OID43630	P16444	DPEP1	OID20897	P16444	DPEP1
OID43958_OID20899	OID43958_OID20899	OID43958	Q9Y4K4	MAP4K5	OID20899	Q9Y4K4	MAP4K5
OID43848_OID20900	OID43848_OID20900	OID43848	O95256	IL18RAP	OID20900	O95256	IL18RAP
OID43563_OID20901	OID43563_OID20901	OID43563	P52943	CRIP2	OID20901	P52943	CRIP2
OID44121_OID20902	OID44121_OID20902	OID44121	P63098	PPP3R1	OID20902	P63098	PPP3R1
OID43591_OID20903	OID43591_OID20903	OID43591	P14868	DARS1	OID20903	P14868	DARS1
OID43951_OID20904	OID43951_OID20904	OID43951	Q9Y6D9	MAD1L1	OID20904	Q9Y6D9	MAD1L1
OID43688_OID20905	OID43688_OID20905	OID43688	O14944	EREG	OID20905	O14944	EREG
OID44250_OID20906	OID44250_OID20906	OID44250	Q86WV1	SKAP1	OID20906	Q86WV1	SKAP1
OID43859_OID20907	OID43859_OID20907	OID43859	P29218	IMPA1	OID20907	P29218	IMPA1
OID44148_OID20908	OID44148_OID20908	OID44148	P18031	PTPN1	OID20908	P18031	PTPN1
OID43750_OID20909	OID43750_OID20909	OID43750	P36269	GGT5	OID20909	P36269	GGT5
OID43541_OID20910	OID43541_OID20910	OID43541	Q16740	CLPP	OID20910	Q16740	CLPP
OID44152_OID20912	OID44152_OID20912	OID44152	Q92932	PTPRN2	OID20912	Q92932	PTPRN2
OID44034_OID20913	OID44034_OID20913	OID44034	Q9HAN9	NMNAT1	OID20913	Q9HAN9	NMNAT1
OID43566_OID20914	OID43566_OID20914	OID43566	O95727	CRTAM	OID20914	O95727	CRTAM
OID43571_OID20915	OID43571_OID20915	OID43571	P15509	CSF2RA	OID20915	P15509	CSF2RA
OID44133_OID20916	OID44133_OID20916	OID44133	P11464	PSG1	OID20916	P11464	PSG1
OID43635_OID20917	OID43635_OID20917	OID43635	Q8NBI3	DRAXIN	OID20917	Q8NBI3	DRAXIN
OID43645_OID20918	OID43645_OID20918	OID43645	O00559	EBAG9	OID20918	O00559	EBAG9
OID43313_OID20921	OID43313_OID20921	OID43313	Q96IU4	ABHD14B	OID20921	Q96IU4	ABHD14B
OID44094_OID20922	OID44094_OID20922	OID44094	Q8TCT1	PHOSPHO1	OID20922	Q8TCT1	PHOSPHO1
OID43562_OID20923	OID43562_OID20923	OID43562	P78560	CRADD	OID20923	P78560	CRADD
OID44279_OID20924	OID44279_OID20924	OID44279	Q08629	SPOCK1	OID20924	Q08629	SPOCK1
OID44067_OID20925	OID44067_OID20925	OID44067	P09466	PAEP	OID20925	P09466	PAEP
OID44415_OID20926	OID44415_OID20926	OID44415	O00308	WWP2	OID20926	O00308	WWP2
OID43375_OID20927	OID43375_OID20927	OID43375	P07741	APRT	OID20927	P07741	APRT
OID43531_OID20928	OID43531_OID20928	OID43531	Q8IUN9	CLEC10A	OID20928	Q8IUN9	CLEC10A
OID43527_OID20930	OID43527_OID20930	OID43527	Q9HD42	CHMP1A	OID20930	Q9HD42	CHMP1A
OID44004_OID20931	OID44004_OID20931	OID44004	Q02083	NAAA	OID20931	Q02083	NAAA
OID44232_OID20932	OID44232_OID20932	OID44232	P50453	SERPINB9	OID20932	P50453	SERPINB9
OID43748_OID20933	OID43748_OID20933	OID43748	O60609	GFRA3	OID20933	O60609	GFRA3
OID43609_OID20934	OID43609_OID20934	OID43609	Q9UBT3	DKK4	OID20934	Q9UBT3	DKK4
OID43658_OID20935	OID43658_OID20935	OID43658	P52798	EFNA4	OID20935	P52798	EFNA4
OID44403_OID20936	OID44403_OID20936	OID44403	Q2TAL6	VWC2	OID20936	Q2TAL6	VWC2
OID43718_OID20937	OID43718_OID20937	OID43718	Q13451	FKBP5	OID20937	Q13451	FKBP5
OID44194_OID20938	OID44194_OID20938	OID44194	Q2MKA7	RSPO1	OID20938	Q2MKA7	RSPO1
OID44412_OID20939	OID44412_OID20939	OID44412	Q96NZ8	WFIKKN1	OID20939	Q96NZ8	WFIKKN1
OID43506_OID20940	OID43506_OID20940	OID43506	Q9H5V8	CDCP1	OID20940	Q9H5V8	CDCP1
OID43834_OID20941	OID43834_OID20941	OID43834	P38484	IFNGR2	OID20941	P38484	IFNGR2
OID44311_OID20942	OID44311_OID20942	OID44311	Q15814	TBCC	OID20942	Q15814	TBCC
OID44210_OID20943	OID44210_OID20943	OID44210	Q14108	SCARB2	OID20943	Q14108	SCARB2
OID43774_OID20944	OID43774_OID20944	OID43774	P78333	GPC5	OID20944	P78333	GPC5
OID43947_OID20945	OID43947_OID20945	OID43947	Q9Y6Y9	LY96	OID20945	Q9Y6Y9	LY96
OID43720_OID20946	OID43720_OID20946	OID43720	O43155	FLRT2	OID20946	O43155	FLRT2
OID44335_OID20947	OID44335_OID20947	OID44335	Q9H3S3	TMPRSS5	OID20947	Q9H3S3	TMPRSS5
OID44234_OID20948	OID44234_OID20948	OID44234	Q53H47	SETMAR	OID20948	Q53H47	SETMAR
OID43759_OID20949	OID43759_OID20949	OID43759	P16278	GLB1	OID20949	P16278	GLB1
OID44183_OID20950	OID44183_OID20950	OID44183	P08134	RHOC	OID20950	P08134	RHOC
OID43966_OID20951	OID43966_OID20951	OID43966	Q8NFP4	MDGA1	OID20951	Q8NFP4	MDGA1
OID44368_OID20952	OID44368_OID20952	OID44368	P40222	TXLNA	OID20952	P40222	TXLNA
OID44348_OID20953	OID44348_OID20953	OID44348	O43557	TNFSF14	OID20953	O43557	TNFSF14
OID43960_OID20954	OID43960_OID20954	OID43960	P48740	MASP1	OID20954	P48740	MASP1
OID44287_OID20955	OID44287_OID20955	OID44287	O95630	STAMBP	OID20955	O95630	STAMBP
OID43627_OID20956	OID43627_OID20956	OID43627	Q6XZF7	DNMBP	OID20956	Q6XZF7	DNMBP
OID44350_OID20957	OID44350_OID20957	OID44350	Q92752	TNR	OID20957	Q92752	TNR
OID43460_OID20958	OID43460_OID20958	OID43460	Q6P1N0	CC2D1A	OID20958	Q6P1N0	CC2D1A
OID43976_OID20959	OID43976_OID20959	OID43976	Q8WV92	MITD1	OID20959	Q8WV92	MITD1
OID43717_OID20960	OID43717_OID20960	OID43717	Q02790	FKBP4	OID20960	Q02790	FKBP4
OID44037_OID20961	OID44037_OID20961	OID44037	P06748	NPM1	OID20961	P06748	NPM1
OID44122_OID20962	OID44122_OID20962	OID44122	Q06830	PRDX1	OID20962	Q06830	PRDX1
OID43931_OID20963	OID43931_OID20963	OID43931	P22079	LPO	OID20963	P22079	LPO
OID44343_OID20964	OID44343_OID20964	OID44343	O95407	TNFRSF6B	OID20964	O95407	TNFRSF6B
OID43909_OID20965	OID43909_OID20965	OID43909	Q6ISS4	LAIR2	OID20965	Q6ISS4	LAIR2
OID43487_OID20966	OID43487_OID20966	OID43487	Q9NZQ7	CD274	OID20966	Q9NZQ7	CD274
OID44338_OID20967	OID44338_OID20967	OID44338	O00220	TNFRSF10A	OID20967	O00220	TNFRSF10A
OID43728_OID20968	OID43728_OID20968	OID43728	Q92765	FRZB	OID20968	Q92765	FRZB
OID44137_OID20969	OID44137_OID20969	OID44137	Q06323	PSME1	OID20969	Q06323	PSME1
OID43917_OID20970	OID43917_OID20970	OID43917	Q6UX15	LAYN	OID20970	Q6UX15	LAYN
OID44266_OID20971	OID44266_OID20971	OID44266	O76070	SNCG	OID20971	O76070	SNCG
OID43403_OID20972	OID43403_OID20972	OID43403	O95817	BAG3	OID20972	O95817	BAG3
OID43478_OID20973	OID43478_OID20973	OID43478	O14618	CCS	OID20973	O14618	CCS
OID43335_OID20974	OID43335_OID20974	OID43335	O60242	ADGRB3	OID20974	O60242	ADGRB3
OID43810_OID20975	OID43810_OID20975	OID43810	P50135	HNMT	OID20975	P50135	HNMT
OID43583_OID20976	OID43583_OID20976	OID43583	P78423	CX3CL1	OID20976	P78423	CX3CL1
OID43868_OID20977	OID43868_OID20977	OID43868	Q8WWN9	IPCEF1	OID20977	Q8WWN9	IPCEF1
OID45026_OID20978	OID45026_OID20978	OID45026	P02771	AFP	OID20978	P02771	AFP
OID43961_OID20979	OID43961_OID20979	OID43961	O15232	MATN3	OID20979	O15232	MATN3
OID44053_OID20980	OID44053_OID20980	OID44053	Q9NPH6	OBP2B	OID20980	Q9NPH6	OBP2B
OID44339_OID20981	OID44339_OID20981	OID44339	O14763	TNFRSF10B	OID20981	O14763	TNFRSF10B
OID43683_OID20982	OID43683_OID20982	OID43683	O15197	EPHB6	OID20982	O15197	EPHB6
OID43443_OID20983	OID43443_OID20983	OID43443	P01258	CALCA	OID20983	P01258	CALCA
OID44238_OID20984	OID44238_OID20984	OID44238	Q8N474	SFRP1	OID20984	Q8N474	SFRP1
OID44344_OID20985	OID44344_OID20985	OID44344	Q07011	TNFRSF9	OID20985	Q07011	TNFRSF9
OID44169_OID20986	OID44169_OID20986	OID44169	Q9H477	RBKS	OID20986	Q9H477	RBKS
OID44313_OID20987	OID44313_OID20987	OID44313	P56279	TCL1A	OID20987	P56279	TCL1A
OID43496_OID20988	OID43496_OID20988	OID43496	P08962	CD63	OID20988	P08962	CD63
OID44138_OID20989	OID44138_OID20989	OID44138	Q9UL46	PSME2	OID20989	Q9UL46	PSME2
OID43389_OID20990	OID43389_OID20990	OID43389	P07306	ASGR1	OID20990	P07306	ASGR1
OID43732_OID20992	OID43732_OID20992	OID43732	Q9BYC5	FUT8	OID20992	Q9BYC5	FUT8
OID44310_OID20993	OID44310_OID20993	OID44310	Q99426	TBCB	OID20993	Q99426	TBCB
OID43416_OID20994	OID43416_OID20994	OID43416	P12644	BMP4	OID20994	P12644	BMP4
OID43576_OID20995	OID43576_OID20995	OID43576	P28325	CST5	OID20995	P28325	CST5
OID43387_OID20996	OID43387_OID20996	OID43387	Q9NR71	ASAH2	OID20996	Q9NR71	ASAH2
OID43408_OID20998	OID43408_OID20998	OID43408	Q96GW7	BCAN	OID20998	Q96GW7	BCAN
OID43325_OID20999	OID43325_OID20999	OID43325	P37023	ACVRL1	OID20999	P37023	ACVRL1
OID43666_OID21000	OID43666_OID21000	OID43666	P23588	EIF4B	OID21000	P23588	EIF4B
OID43328_OID21001	OID43328_OID21001	OID43328	Q9P0K1	ADAM22	OID21001	Q9P0K1	ADAM22
OID44098_OID21002	OID44098_OID21002	OID44098	O15496	PLA2G10	OID21002	O15496	PLA2G10
OID43944_OID21003	OID43944_OID21003	OID43944	Q9BS40	LXN	OID21003	Q9BS40	LXN
OID44498_OID21004	OID44498_OID21004	OID44498	P13500	CCL2	OID21004	P13500	CCL2
OID44524_OID21005	OID44524_OID21005	OID44524	P55291	CDH15	OID21005	P55291	CDH15
OID44552_OID21006	OID44552_OID21006	OID44552	O94779	CNTN5	OID21006	O94779	CNTN5
OID44901_OID21007	OID44901_OID21007	OID44901	Q9HCK4	ROBO2	OID21007	Q9HCK4	ROBO2
OID44527_OID21008	OID44527_OID21008	OID44527	P22223	CDH3	OID21008	P22223	CDH3
OID44600_OID21009	OID44600_OID21009	OID44600	Q08345	DDR1	OID21009	Q08345	DDR1
OID44511_OID21010	OID44511_OID21010	OID44511	Q08708	CD300C	OID21010	Q08708	CD300C
OID44884_OID21011	OID44884_OID21011	OID44884	P15151	PVR	OID21011	P15151	PVR
OID45003_OID21012	OID45003_OID21012	OID45003	Q8NBS9	TXNDC5	OID21012	Q8NBS9	TXNDC5
OID44667_OID21013	OID44667_OID21013	OID44667	P21217_Q11128	FUT3_FUT5	OID21013	P21217_Q11128	FUT3_FUT5
OID44962_OID21014	OID44962_OID21014	OID44962	P52823	STC1	OID21014	P52823	STC1
OID44903_OID21015	OID44903_OID21015	OID44903	Q9H446	RWDD1	OID21015	Q9H446	RWDD1
OID45016_OID21016	OID45016_OID21016	OID45016	Q9NP79	VTA1	OID21016	Q9NP79	VTA1
OID44639_OID21017	OID44639_OID21017	OID44639	P15311	EZR	OID21017	P15311	EZR
OID44521_OID21018	OID44521_OID21018	OID44521	P01732	CD8A	OID21018	P01732	CD8A
OID44787_OID21019	OID44787_OID21019	OID44787	P22894	MMP8	OID21019	P22894	MMP8
OID44920_OID21020	OID44920_OID21020	OID44920	Q92854	SEMA4D	OID21020	Q92854	SEMA4D
OID44836_OID21021	OID44836_OID21021	OID44836	O14737	PDCD5	OID21021	O14737	PDCD5
OID44819_OID21022	OID44819_OID21022	OID44819	Q9UNZ2	NSFL1C	OID21022	Q9UNZ2	NSFL1C
OID44922_OID21023	OID44922_OID21023	OID44922	P35237	SERPINB6	OID21023	P35237	SERPINB6
OID44586_OID21024	OID44586_OID21024	OID44586	O43927	CXCL13	OID21024	O43927	CXCL13
OID44513_OID21025	OID44513_OID21025	OID44513	P28906	CD34	OID21025	P28906	CD34
OID45012_OID21026	OID45012_OID21026	OID45012	P13611	VCAN	OID21026	P13611	VCAN
OID44863_OID21027	OID44863_OID21027	OID44863	Q96CD2	PPCDC	OID21027	Q96CD2	PPCDC
OID44940_OID21028	OID44940_OID21028	OID44940	P17405	SMPD1	OID21028	P17405	SMPD1
OID44483_OID21029	OID44483_OID21029	OID44483	Q10589	BST2	OID21029	Q10589	BST2
OID44497_OID21030	OID44497_OID21030	OID44497	Q99731	CCL19	OID21030	Q99731	CCL19
OID44965_OID21031	OID44965_OID21031	OID44965	P50225	SULT1A1	OID21031	P50225	SULT1A1
OID44966_OID21032	OID44966_OID21032	OID44966	Q8NBJ7	SUMF2	OID21032	Q8NBJ7	SUMF2
OID44871_OID21033	OID44871_OID21033	OID44871	P01236	PRL	OID21033	P01236	PRL
OID44742_OID21034	OID44742_OID21034	OID44742	Q14739	LBR	OID21034	Q14739	LBR
OID44741_OID21035	OID44741_OID21035	OID44741	P13473	LAMP2	OID21035	P13473	LAMP2
OID44464_OID21036	OID44464_OID21036	OID44464	P12429	ANXA3	OID21036	P12429	ANXA3
OID44624_OID21037	OID44624_OID21037	OID44624	P06733	ENO1	OID21037	P06733	ENO1
OID44537_OID21038	OID44537_OID21038	OID44537	P05060	CHGB	OID21038	P05060	CHGB
OID44439_OID21039	OID44439_OID21039	OID44439	P78325	ADAM8	OID21039	P78325	ADAM8
OID44519_OID21040	OID44519_OID21040	OID44519	P04233	CD74	OID21040	P04233	CD74
OID44750_OID21041	OID44750_OID21041	OID44750	O00214	LGALS8	OID21041	O00214	LGALS8
OID44585_OID21042	OID44585_OID21042	OID44585	O14625	CXCL11	OID21042	O14625	CXCL11
OID44644_OID21043	OID44644_OID21043	OID44644	Q01469	FABP5	OID21043	Q01469	FABP5
OID44690_OID21044	OID44690_OID21044	OID44690	Q6P4E1	GOLM2	OID21044	Q6P4E1	GOLM2
OID44895_OID21045	OID44895_OID21045	OID44895	Q6NW40	RGMB	OID21045	Q6NW40	RGMB
OID44625_OID21046	OID44625_OID21046	OID44625	P09104	ENO2	OID21046	P09104	ENO2
OID44829_OID21047	OID44829_OID21047	OID44829	P01178	OXT	OID21047	P01178	OXT
OID44908_OID21048	OID44908_OID21048	OID44908	Q96GP6	SCARF2	OID21048	Q96GP6	SCARF2
OID44991_OID21049	OID44991_OID21049	OID44991	P28908	TNFRSF8	OID21049	P28908	TNFRSF8
OID44979_OID21050	OID44979_OID21050	OID44979	P04216	THY1	OID21050	P04216	THY1
OID44482_OID21051	OID44482_OID21051	OID44482	Q10588	BST1	OID21051	Q10588	BST1
OID44990_OID21052	OID44990_OID21052	OID44990	O75509	TNFRSF21	OID21052	O75509	TNFRSF21
OID44562_OID21053	OID44562_OID21053	OID44562	Q9BRF8	CPPED1	OID21053	Q9BRF8	CPPED1
OID44561_OID21054	OID44561_OID21054	OID44561	P14384	CPM	OID21054	P14384	CPM
OID44803_OID21055	OID44803_OID21055	OID44803	O14594	NCAN	OID21055	O14594	NCAN
OID44582_OID21056	OID44582_OID21056	OID44582	P25774	CTSS	OID21056	P25774	CTSS
OID44824_OID21057	OID44824_OID21057	OID44824	Q16288	NTRK3	OID21057	Q16288	NTRK3
OID44907_OID21058	OID44907_OID21058	OID44907	Q6ZMJ2	SCARA5	OID21058	Q6ZMJ2	SCARA5
OID44758_OID21059	OID44758_OID21059	OID44758	P30533	LRPAP1	OID21059	P30533	LRPAP1
OID44559_OID21060	OID44559_OID21060	OID44559	P48052	CPA2	OID21060	P48052	CPA2
OID44545_OID21061	OID44545_OID21061	OID44545	Q9P126	CLEC1B	OID21061	Q9P126	CLEC1B
OID44660_OID21062	OID44660_OID21062	OID44660	P14207	FOLR2	OID21062	P14207	FOLR2
OID44793_OID21063	OID44793_OID21063	OID44793	P21757	MSR1	OID21063	P21757	MSR1
OID44725_OID21064	OID44725_OID21064	OID44725	P57087	JAM2	OID21064	P57087	JAM2
OID44894_OID21065	OID44894_OID21065	OID44894	Q96B86	RGMA	OID21065	Q96B86	RGMA
OID44604_OID21066	OID44604_OID21066	OID44604	O94907	DKK1	OID21066	O94907	DKK1
