meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID44061_OID31085	OID44061_OID31085	OID44061	Q9H1P3	OSBPL2	OID31085	Q9H1P3	OSBPL2
OID44281_OID31086	OID44281_OID31086	OID44281	O15269	SPTLC1	OID31086	O15269	SPTLC1
OID44058_OID31087	OID44058_OID31087	OID44058	O60890	OPHN1	OID31087	O60890	OPHN1
OID44101_OID31088	OID44101_OID31088	OID44101	Q53GL0	PLEKHO1	OID31088	Q53GL0	PLEKHO1
OID44302_OID31089	OID44302_OID31089	OID44302	P21579	SYT1	OID31089	P21579	SYT1
OID44291_OID31090	OID44291_OID31090	OID44291	Q13277	STX3	OID31090	Q13277	STX3
OID43749_OID31091	OID43749_OID31091	OID43749	Q6UXV0	GFRAL	OID31091	Q6UXV0	GFRAL
OID43543_OID31092	OID43543_OID31092	OID43543	Q9BQT9	CLSTN3	OID31092	Q9BQT9	CLSTN3
OID44129_OID31093	OID44129_OID31093	OID44129	Q2L4Q9	PRSS53	OID31093	Q2L4Q9	PRSS53
OID43890_OID31094	OID43890_OID31094	OID43890	Q5VV43	KIAA0319	OID31094	Q5VV43	KIAA0319
OID43436_OID31095	OID43436_OID31095	OID43436	Q9BRJ6	C7orf50	OID31095	Q9BRJ6	C7orf50
OID44072_OID31096	OID44072_OID31096	OID44072	Q8IXS6	PALM2	OID31096	Q8IXS6	PALM2
OID43784_OID31097	OID43784_OID31097	OID43784	P0CG30	GSTT2B	OID31097	P0CG30	GSTT2B
OID43821_OID31098	OID43821_OID31098	OID43821	Q9BPX1	HSD17B14	OID31098	Q9BPX1	HSD17B14
OID44153_OID31099	OID44153_OID31099	OID44153	Q15256	PTPRR	OID31099	Q15256	PTPRR
OID43444_OID31100	OID43444_OID31100	OID43444	P10092	CALCB	OID31100	P10092	CALCB
OID44103_OID31101	OID44103_OID31101	OID44103	Q6UX71	PLXDC2	OID31101	Q6UX71	PLXDC2
OID44040_OID31102	OID44040_OID31102	OID44040	Q9BXI3	NT5C1A	OID31102	Q9BXI3	NT5C1A
OID44333_OID31103	OID44333_OID31103	OID44333	O60235	TMPRSS11D	OID31103	O60235	TMPRSS11D
OID43622_OID31104	OID43622_OID31104	OID43622	Q5F1R6	DNAJC21	OID31104	Q5F1R6	DNAJC21
OID44401_OID31105	OID44401_OID31105	OID44401	P62760	VSNL1	OID31105	P62760	VSNL1
OID43415_OID31106	OID43415_OID31106	OID43415	Q6QNY0	BLOC1S3	OID31106	Q6QNY0	BLOC1S3
OID43801_OID31107	OID43801_OID31107	OID43801	Q03014	HHEX	OID31107	Q03014	HHEX
OID43713_OID31108	OID43713_OID31108	OID43713	Q8TAT2	FGFBP3	OID31108	Q8TAT2	FGFBP3
OID43926_OID31109	OID43926_OID31109	OID43926	Q03252	LMNB2	OID31109	Q03252	LMNB2
OID44099_OID31110	OID44099_OID31110	OID44099	Q6P1J6	PLB1	OID31110	Q6P1J6	PLB1
OID43629_OID31111	OID43629_OID31111	OID43629	Q99704	DOK1	OID31111	Q99704	DOK1
OID43860_OID31112	OID43860_OID31112	OID43860	Q9P2X3	IMPACT	OID31112	Q9P2X3	IMPACT
OID44010_OID31114	OID44010_OID31114	OID44010	Q6XQN6	NAPRT	OID31114	Q6XQN6	NAPRT
OID44030_OID31115	OID44030_OID31115	OID44030	Q9NPE2	NGRN	OID31115	Q9NPE2	NGRN
OID43524_OID31116	OID43524_OID31116	OID43524	Q8WYQ3	CHCHD10	OID31116	Q8WYQ3	CHCHD10
OID43371_OID31117	OID43371_OID31117	OID43371	P59780	AP3S2	OID31117	P59780	AP3S2
OID43628_OID31118	OID43628_OID31118	OID43628	Q9ULA0	DNPEP	OID31118	Q9ULA0	DNPEP
OID44125_OID31119	OID44125_OID31119	OID44125	P13861	PRKAR2A	OID31119	P13861	PRKAR2A
OID44349_OID31120	OID44349_OID31120	OID44349	Q15025	TNIP1	OID31120	Q15025	TNIP1
OID44369_OID31121	OID44369_OID31121	OID44369	O14530	TXNDC9	OID31121	O14530	TXNDC9
OID44106_OID31122	OID44106_OID31122	OID44106	P54315	PNLIPRP1	OID31122	P54315	PNLIPRP1
OID44407_OID31123	OID44407_OID31123	OID44407	Q9Y3C0	WASHC3	OID31123	Q9Y3C0	WASHC3
OID44126_OID31124	OID44126_OID31124	OID44126	Q9UKY0	PRND	OID31124	Q9UKY0	PRND
OID43662_OID31125	OID43662_OID31125	OID43662	P47813	EIF1AX	OID31125	P47813	EIF1AX
OID43451_OID31126	OID43451_OID31126	OID43451	Q13938	CAPS	OID31126	Q13938	CAPS
