phenotype	condition	pval	beta	std	pval_fdr
LIPID85	CONDITION1	0.2287281948990016	0.0720689448080939	0.0594857667525265	0.5504108215757417
LIPID86	CONDITION1	0.1732381403804371	0.0812139309027816	0.0591812026154388	0.505625352532852
LIPID87	CONDITION1	0.0705651626379006	0.1186746249585411	0.0648837701097862	0.47230496541068434
LIPID88	CONDITION1	0.3079136763201547	0.0693603074252035	0.0676573334722963	0.6348542659296715
LIPID89	CONDITION1	0.529709596408185	0.0385588259817394	0.0611279901569879	0.7545791464976453
LIPID90	CONDITION1	0.5373900963160883	0.0402907723889045	0.0650863267194821	0.7545791464976453
LIPID91	CONDITION1	0.0794968753661548	0.1079716835441652	0.0609037069963206	0.47230496541068434
LIPID92	CONDITION1	0.1395547798552904	0.0841376025912271	0.0564656905954462	0.4874545039818834
LIPID93	CONDITION1	0.1467899466736617	0.0876996900109088	0.0599431305367727	0.4874545039818834
LIPID94	CONDITION1	0.5723494020837567	0.0370947399417588	0.065471231836946	0.7648412274508328
LIPID95	CONDITION1	0.0469812486430229	0.1236225659996277	0.0614139167204184	0.36500816253425483
LIPID96	CONDITION1	0.0699680081974506	0.1122743179215395	0.0612517059538395	0.47230496541068434
LIPID97	CONDITION1	0.9881054141565848	0.0009921701854085	0.0663751548447896	0.9881054141565848
LIPID98	CONDITION1	0.2189972931405093	0.0680415949054348	0.0549847276856819	0.5504108215757417
LIPID99	CONDITION1	0.5325781631013407	-0.0397071176620695	0.0633905291972412	0.7545791464976453
LIPID100	CONDITION1	0.4382349951703342	-0.0473289065453536	0.0607957169822031	0.7064615207068362
