protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size
A0FGR8	0.2583102002116916	3.4147416020151224	3.020841678104523	0.5239750658460772	A	G	300
A1E959	0.2238235565853652	6.985085254592585	5.742312648969447	0.4879472444893122	A	G	300
A1KZ92	0.3076157080365492	-7.836646376499236	7.681196086176327	0.5694204582856529	A	G	300
A1L4H1	2.9233224144723157e-09	49.76761528284828	8.384248261454971	2.082688968944789e-07	A	G	300
A2VDF0	9.54796640705529e-05	17.5406105005382	4.49551650416295	0.0013473241485511	A	G	300
A4D1B5	0.4603873355323808	2.691973670241518	3.646627114310277	0.6971443271591936	A	G	300
A6BM72	0.6253627451671001	-5.068742586817918	10.38114819399374	0.8029382763222416	A	G	300
A6NC86	0.2139960674280888	9.780325654967122	7.870526084627007	0.4782574697455604	A	G	300
A6NCE7	0.2020636585130705	-5.9913015093887365	4.696503095842071	0.4625610866118174	A	G	300
A6NDB9	0.604941933826478	3.989922514943888	7.712873088261711	0.7914031642202258	A	G	300
A6NFN3	0.1854408123580188	11.298499265798016	8.532401994516812	0.43591105063536	A	G	300
A6NGG8	0.2694755960983549	-5.390960470479765	4.881917972016531	0.5338577731014078	A	G	300
A6NGN9	0.9868344873424368	0.0703089570200631	4.260820447840618	0.9939707392691012	A	G	300
A6NHS7	0.7784203889271142	1.86436379935124	6.62583046390863	0.89338479388246	A	G	300
A6NI73	0.0146153565024493	29.0912749694619	11.91399929437807	0.0830573080615844	A	G	300
A6NLU5	0.485537247776278	-5.992903283220727	8.592907625860853	0.7155797562201117	A	G	300
A6NM11	0.2926495742752258	10.829941510038044	10.291422813483209	0.5576186604422274	A	G	300
A7E2Y1	0.528156070049383	-3.5868870062291225	5.686040820711279	0.7474534305301588	A	G	300
A8MTB9	0.4714396986436793	-3.644917983685769	5.061412168503667	0.7059082055564159	A	G	300
A8MVW0	0.073891586826078	-5.405089587195016	3.0241916590240816	0.252634647715071	A	G	300
A8MVW5	0.3829856667778256	8.044639733582773	9.22118646598376	0.6332171153892145	A	G	300
A8MVZ5	0.1845287816208896	-12.81731997380907	9.65931186530393	0.4348596181742791	A	G	300
A8MYV0	0.8671146676553622	0.8810271797671003	5.265378220937229	0.9426281891407938	A	G	300
B0FP48	0.3222448427994777	6.694967747520469	6.763582150676477	0.5829245624240863	A	G	300
B1AKI9	0.0034095213853859	21.829523549968915	7.454979010391629	0.0264170078692631	A	G	300
B2RUY7	0.0170868090094829	-16.99532546593859	7.126417317506809	0.0932907833957	A	G	300
B6A8C7	0.820234020567735	1.1806660093879109	5.195587313762443	0.9162155158999442	A	G	300
B6SEH8	0.0403352429162272	-13.013335674105589	6.347042272350591	0.1712489019742727	A	G	300
E2RYF7	0.656250655461187	-2.3394427038979124	5.256045239655049	0.822034592289753	A	G	300
I3L3R5	0.3393073417019342	-6.244412993039521	6.534993106628463	0.598139254744327	A	G	300
NTproBNP	0.0809207717747017	-6.068413578627302	3.476866982633988	0.2686017890385269	A	G	300
O00148	0.2611473452081511	-9.788462978353444	8.711050330085826	0.5258270057067925	A	G	300
O00161	0.5650414622541187	1.7946227990960335	3.1190790641070416	0.7687942558304411	A	G	300
O00175	0.1055183002160806	9.734453567931856	6.013859522500316	0.3140917922008156	A	G	300
O00182	0.0001409462052896	44.45253719307195	11.678054617740418	0.0017978334744581	A	G	300
O00186	0.1441402996299541	5.449726630845404	3.731296162333664	0.3739199069441349	A	G	300
O00194	0.9232256533053376	-0.3648470620628209	3.7858460931636206	0.9614053951176084	A	G	300
O00203	0.0675218615610753	6.855847131722323	3.750084857009657	0.2390756307735644	A	G	300
O00206	0.7404046508267845	3.825322472478522	11.5457895166641	0.869610770030172	A	G	300
O00214	0.1515188495423595	6.293334787434257	4.388084623113123	0.3889161331399228	A	G	300
O00220	0.0005032106918497	41.00337144594951	11.78582425418109	0.0052611454068827	A	G	300
O00221	0.4085810852444463	3.0479914206380414	3.68830655614032	0.6525234281022567	A	G	300
O00233	0.0130084338861701	14.484769135864562	5.832311520906424	0.0758435835958141	A	G	300
O00241	0.0607992971867112	17.76958548964096	9.477353774724248	0.2239530228025011	A	G	300
O00244	0.989787878202727	-0.0578597737083892	4.520525762024691	0.9955820909883488	A	G	300
O00253	2.483390375778106e-21	55.59404724098891	5.862824744536917	1.813495821911962e-18	A	G	300
O00273	0.597534496579839	1.918009593426908	3.632942482983865	0.7855077698063501	A	G	300
O00291	0.3681660448924666	6.341231306996831	7.046486273269473	0.6219855506829931	A	G	300
O00292	1.2012985509886274e-05	31.44802859304522	7.18425849021645	0.0002235027431489	A	G	300
O00300	0.0010958435581081	35.75105119299118	10.95082932607636	0.0101617747086786	A	G	300
O00308	0.3447687527347973	4.398789133692768	4.655863564844768	0.6030356447534987	A	G	300
O00327	0.7307848486684227	2.452880970724061	7.128774958130047	0.8663417324572995	A	G	300
O00337	0.619419221713178	3.2169312108139985	6.476951910961215	0.8000175165347686	A	G	300
O00339	0.0291890600289306	26.36970744248708	12.091072868094727	0.140002043258631	A	G	300
O00391	0.0059290496472691	41.664277134793785	15.141398360415774	0.0409426808975722	A	G	300
O00399	0.4839815701760225	2.138046722139704	3.054731643805084	0.7144610357185902	A	G	300
O00401	0.0957548758228958	-8.065325863232419	4.84173683647637	0.295945551680404	A	G	300
O00422	0.3444991293143378	-4.238877191844517	4.484099360874098	0.6029250789258123	A	G	300
